"epoch","train_DQN - _step","train_DQN - _step__MIN","train_DQN - _step__MAX","train_DQN - test/total_reward","train_DQN - test/total_reward__MIN","train_DQN - test/total_reward__MAX"
"0","101","101","101","3","3","3"
"1","213","213","213","2","2","2"
"2","325","325","325","3","3","3"
"3","437","437","437","4","4","4"
"4","549","549","549","2","2","2"
"5","661","661","661","4","4","4"
"6","773","773","773","5","5","5"
"7","885","885","885","4","4","4"
"8","997","997","997","1","1","1"
"9","1109","1109","1109","3","3","3"
"10","1221","1221","1221","6","6","6"
"11","1333","1333","1333","4","4","4"
"12","1445","1445","1445","5","5","5"
"13","1557","1557","1557","7","7","7"
"14","1669","1669","1669","9","9","9"
"15","1781","1781","1781","8","8","8"
"16","1893","1893","1893","8","8","8"
"17","2005","2005","2005","6","6","6"
"18","2117","2117","2117","5","5","5"
"19","2229","2229","2229","7","7","7"
"20","2341","2341","2341","6","6","6"
"21","2453","2453","2453","5","5","5"
"22","2565","2565","2565","9","9","9"
"23","2677","2677","2677","8","8","8"
"24","2789","2789","2789","5","5","5"
"25","2901","2901","2901","7","7","7"
"26","3013","3013","3013","8","8","8"
"27","3125","3125","3125","8","8","8"
"28","3237","3237","3237","8","8","8"
"29","3349","3349","3349","9","9","9"
"30","3461","3461","3461","10","10","10"
"31","3573","3573","3573","10","10","10"
"32","3685","3685","3685","9","9","9"
"33","3797","3797","3797","7","7","7"
"34","3909","3909","3909","10","10","10"
"35","4021","4021","4021","6","6","6"
"36","4133","4133","4133","9","9","9"
"37","4245","4245","4245","8","8","8"
"38","4357","4357","4357","7","7","7"
"39","4469","4469","4469","9","9","9"
"40","4581","4581","4581","7","7","7"
"41","4693","4693","4693","10","10","10"
"42","4805","4805","4805","8","8","8"
"43","4917","4917","4917","10","10","10"
"44","5029","5029","5029","10","10","10"
"45","5141","5141","5141","9","9","9"
"46","5253","5253","5253","10","10","10"
"47","5365","5365","5365","9","9","9"
"48","5477","5477","5477","10","10","10"
"49","5589","5589","5589","8","8","8"
"50","5701","5701","5701","10","10","10"
"51","5813","5813","5813","10","10","10"
"52","5925","5925","5925","9","9","9"
"53","6037","6037","6037","9","9","9"
"54","6149","6149","6149","8","8","8"
"55","6261","6261","6261","9","9","9"
"56","6373","6373","6373","10","10","10"
"57","6485","6485","6485","10","10","10"
"58","6597","6597","6597","9","9","9"
"59","6709","6709","6709","10","10","10"
"60","6821","6821","6821","10","10","10"
"61","6933","6933","6933","8","8","8"
"62","7045","7045","7045","9","9","9"
"63","7157","7157","7157","9","9","9"
"64","7269","7269","7269","9","9","9"
"65","7381","7381","7381","9","9","9"
"66","7493","7493","7493","10","10","10"
"67","7605","7605","7605","9","9","9"
"68","7717","7717","7717","8","8","8"
"69","7829","7829","7829","10","10","10"
"70","7941","7941","7941","10","10","10"
"71","8053","8053","8053","10","10","10"
"72","8165","8165","8165","10","10","10"
"73","8277","8277","8277","9","9","9"
"74","8389","8389","8389","9","9","9"
"75","8501","8501","8501","10","10","10"
"76","8613","8613","8613","10","10","10"
"77","8725","8725","8725","9","9","9"
"78","8837","8837","8837","9","9","9"
"79","8949","8949","8949","10","10","10"
"80","9061","9061","9061","9","9","9"
"81","9173","9173","9173","8","8","8"
"82","9285","9285","9285","10","10","10"
"83","9397","9397","9397","10","10","10"
"84","9509","9509","9509","9","9","9"
"85","9621","9621","9621","10","10","10"
"86","9733","9733","9733","8","8","8"
"87","9845","9845","9845","9","9","9"
"88","9957","9957","9957","10","10","10"
"89","10069","10069","10069","9","9","9"
"90","10181","10181","10181","8","8","8"
"91","10293","10293","10293","10","10","10"
"92","10405","10405","10405","10","10","10"
"93","10517","10517","10517","10","10","10"
"94","10629","10629","10629","10","10","10"
"95","10741","10741","10741","9","9","9"
"96","10853","10853","10853","8","8","8"
"97","10965","10965","10965","10","10","10"
"98","11077","11077","11077","9","9","9"
"99","11189","11189","11189","9","9","9"
