"epoch","train_DQN - _step","train_DQN - _step__MIN","train_DQN - _step__MAX","train_DQN - test/total_reward","train_DQN - test/total_reward__MIN","train_DQN - test/total_reward__MAX"
"0","101","101","101","3","3","3"
"1","213","213","213","3","3","3"
"2","325","325","325","3","3","3"
"3","437","437","437","2","2","2"
"4","549","549","549","8","8","8"
"5","661","661","661","2","2","2"
"6","773","773","773","6","6","6"
"7","885","885","885","5","5","5"
"8","997","997","997","4","4","4"
"9","1109","1109","1109","4","4","4"
"10","1221","1221","1221","7","7","7"
"11","1333","1333","1333","8","8","8"
"12","1445","1445","1445","7","7","7"
"13","1557","1557","1557","5","5","5"
"14","1669","1669","1669","8","8","8"
"15","1781","1781","1781","7","7","7"
"16","1893","1893","1893","8","8","8"
"17","2005","2005","2005","8","8","8"
"18","2117","2117","2117","7","7","7"
"19","2229","2229","2229","8","8","8"
"20","2341","2341","2341","8","8","8"
"21","2453","2453","2453","8","8","8"
"22","2565","2565","2565","8","8","8"
"23","2677","2677","2677","7","7","7"
"24","2789","2789","2789","9","9","9"
"25","2901","2901","2901","10","10","10"
"26","3013","3013","3013","7","7","7"
"27","3125","3125","3125","10","10","10"
"28","3237","3237","3237","7","7","7"
"29","3349","3349","3349","9","9","9"
"30","3461","3461","3461","10","10","10"
"31","3573","3573","3573","9","9","9"
"32","3685","3685","3685","10","10","10"
"33","3797","3797","3797","9","9","9"
"34","3909","3909","3909","9","9","9"
"35","4021","4021","4021","9","9","9"
"36","4133","4133","4133","10","10","10"
"37","4245","4245","4245","10","10","10"
"38","4357","4357","4357","7","7","7"
"39","4469","4469","4469","8","8","8"
"40","4581","4581","4581","9","9","9"
"41","4693","4693","4693","8","8","8"
"42","4805","4805","4805","9","9","9"
"43","4917","4917","4917","9","9","9"
"44","5029","5029","5029","7","7","7"
"45","5141","5141","5141","8","8","8"
"46","5253","5253","5253","8","8","8"
"47","5365","5365","5365","10","10","10"
"48","5477","5477","5477","8","8","8"
"49","5589","5589","5589","9","9","9"
"50","5701","5701","5701","9","9","9"
"51","5813","5813","5813","9","9","9"
"52","5925","5925","5925","10","10","10"
"53","6037","6037","6037","9","9","9"
"54","6149","6149","6149","9","9","9"
"55","6261","6261","6261","9","9","9"
"56","6373","6373","6373","9","9","9"
"57","6485","6485","6485","9","9","9"
"58","6597","6597","6597","9","9","9"
"59","6709","6709","6709","8","8","8"
"60","6821","6821","6821","8","8","8"
"61","6933","6933","6933","8","8","8"
"62","7045","7045","7045","10","10","10"
"63","7157","7157","7157","10","10","10"
"64","7269","7269","7269","10","10","10"
"65","7381","7381","7381","7","7","7"
"66","7493","7493","7493","8","8","8"
"67","7605","7605","7605","9","9","9"
"68","7717","7717","7717","10","10","10"
"69","7829","7829","7829","9","9","9"
"70","7941","7941","7941","10","10","10"
"71","8053","8053","8053","8","8","8"
"72","8165","8165","8165","9","9","9"
"73","8277","8277","8277","10","10","10"
"74","8389","8389","8389","10","10","10"
"75","8501","8501","8501","8","8","8"
"76","8613","8613","8613","10","10","10"
"77","8725","8725","8725","9","9","9"
"78","8837","8837","8837","10","10","10"
"79","8949","8949","8949","10","10","10"
"80","9061","9061","9061","9","9","9"
"81","9173","9173","9173","9","9","9"
"82","9285","9285","9285","8","8","8"
"83","9397","9397","9397","8","8","8"
"84","9509","9509","9509","9","9","9"
"85","9621","9621","9621","10","10","10"
"86","9733","9733","9733","8","8","8"
"87","9845","9845","9845","9","9","9"
"88","9957","9957","9957","10","10","10"
"89","10069","10069","10069","9","9","9"
"90","10181","10181","10181","9","9","9"
"91","10293","10293","10293","10","10","10"
"92","10405","10405","10405","9","9","9"
"93","10517","10517","10517","7","7","7"
"94","10629","10629","10629","10","10","10"
"95","10741","10741","10741","8","8","8"
"96","10853","10853","10853","10","10","10"
"97","10965","10965","10965","10","10","10"
"98","11077","11077","11077","10","10","10"
"99","11189","11189","11189","9","9","9"
