"epoch","train_DQN - _step","train_DQN - _step__MIN","train_DQN - _step__MAX","train_DQN - test/total_reward","train_DQN - test/total_reward__MIN","train_DQN - test/total_reward__MAX"
"0","101","101","101","4","4","4"
"1","213","213","213","3","3","3"
"2","325","325","325","2","2","2"
"3","437","437","437","2","2","2"
"4","549","549","549","5","5","5"
"5","661","661","661","3","3","3"
"6","773","773","773","4","4","4"
"7","885","885","885","7","7","7"
"8","997","997","997","7","7","7"
"9","1109","1109","1109","4","4","4"
"10","1221","1221","1221","4","4","4"
"11","1333","1333","1333","6","6","6"
"12","1445","1445","1445","4","4","4"
"13","1557","1557","1557","5","5","5"
"14","1669","1669","1669","6","6","6"
"15","1781","1781","1781","6","6","6"
"16","1893","1893","1893","8","8","8"
"17","2005","2005","2005","9","9","9"
"18","2117","2117","2117","6","6","6"
"19","2229","2229","2229","4","4","4"
"20","2341","2341","2341","8","8","8"
"21","2453","2453","2453","6","6","6"
"22","2565","2565","2565","9","9","9"
"23","2677","2677","2677","10","10","10"
"24","2789","2789","2789","8","8","8"
"25","2901","2901","2901","9","9","9"
"26","3013","3013","3013","9","9","9"
"27","3125","3125","3125","8","8","8"
"28","3237","3237","3237","9","9","9"
"29","3349","3349","3349","9","9","9"
"30","3461","3461","3461","9","9","9"
"31","3573","3573","3573","8","8","8"
"32","3685","3685","3685","6","6","6"
"33","3797","3797","3797","8","8","8"
"34","3909","3909","3909","10","10","10"
"35","4021","4021","4021","9","9","9"
"36","4133","4133","4133","10","10","10"
"37","4245","4245","4245","10","10","10"
"38","4357","4357","4357","9","9","9"
"39","4469","4469","4469","10","10","10"
"40","4581","4581","4581","10","10","10"
"41","4693","4693","4693","9","9","9"
"42","4805","4805","4805","10","10","10"
"43","4917","4917","4917","9","9","9"
"44","5029","5029","5029","10","10","10"
"45","5141","5141","5141","8","8","8"
"46","5253","5253","5253","9","9","9"
"47","5365","5365","5365","10","10","10"
"48","5477","5477","5477","10","10","10"
"49","5589","5589","5589","8","8","8"
"50","5701","5701","5701","9","9","9"
"51","5813","5813","5813","10","10","10"
"52","5925","5925","5925","10","10","10"
"53","6037","6037","6037","10","10","10"
"54","6149","6149","6149","8","8","8"
"55","6261","6261","6261","8","8","8"
"56","6373","6373","6373","10","10","10"
"57","6485","6485","6485","10","10","10"
"58","6597","6597","6597","9","9","9"
"59","6709","6709","6709","8","8","8"
"60","6821","6821","6821","9","9","9"
"61","6933","6933","6933","9","9","9"
"62","7045","7045","7045","10","10","10"
"63","7157","7157","7157","10","10","10"
"64","7269","7269","7269","9","9","9"
"65","7381","7381","7381","9","9","9"
"66","7493","7493","7493","7","7","7"
"67","7605","7605","7605","9","9","9"
"68","7717","7717","7717","10","10","10"
"69","7829","7829","7829","8","8","8"
"70","7941","7941","7941","10","10","10"
"71","8053","8053","8053","10","10","10"
"72","8165","8165","8165","9","9","9"
"73","8277","8277","8277","10","10","10"
"74","8389","8389","8389","10","10","10"
"75","8501","8501","8501","8","8","8"
"76","8613","8613","8613","9","9","9"
"77","8725","8725","8725","8","8","8"
"78","8837","8837","8837","10","10","10"
"79","8949","8949","8949","9","9","9"
"80","9061","9061","9061","9","9","9"
"81","9173","9173","9173","9","9","9"
"82","9285","9285","9285","10","10","10"
"83","9397","9397","9397","9","9","9"
"84","9509","9509","9509","9","9","9"
"85","9621","9621","9621","10","10","10"
"86","9733","9733","9733","9","9","9"
"87","9845","9845","9845","10","10","10"
"88","9957","9957","9957","9","9","9"
"89","10069","10069","10069","8","8","8"
"90","10181","10181","10181","9","9","9"
"91","10293","10293","10293","10","10","10"
"92","10405","10405","10405","10","10","10"
"93","10517","10517","10517","8","8","8"
"94","10629","10629","10629","10","10","10"
"95","10741","10741","10741","10","10","10"
"96","10853","10853","10853","9","9","9"
"97","10965","10965","10965","9","9","9"
"98","11077","11077","11077","9","9","9"
"99","11189","11189","11189","9","9","9"
