"epoch","train_DQN - _step","train_DQN - _step__MIN","train_DQN - _step__MAX","train_DQN - test/total_reward","train_DQN - test/total_reward__MIN","train_DQN - test/total_reward__MAX"
"0","101","101","101","3","3","3"
"1","213","213","213","1","1","1"
"2","325","325","325","4","4","4"
"3","437","437","437","3","3","3"
"4","549","549","549","5","5","5"
"5","661","661","661","4","4","4"
"6","773","773","773","4","4","4"
"7","885","885","885","7","7","7"
"8","997","997","997","8","8","8"
"9","1109","1109","1109","7","7","7"
"10","1221","1221","1221","5","5","5"
"11","1333","1333","1333","6","6","6"
"12","1445","1445","1445","8","8","8"
"13","1557","1557","1557","4","4","4"
"14","1669","1669","1669","7","7","7"
"15","1781","1781","1781","8","8","8"
"16","1893","1893","1893","6","6","6"
"17","2005","2005","2005","9","9","9"
"18","2117","2117","2117","9","9","9"
"19","2229","2229","2229","9","9","9"
"20","2341","2341","2341","6","6","6"
"21","2453","2453","2453","9","9","9"
"22","2565","2565","2565","10","10","10"
"23","2677","2677","2677","9","9","9"
"24","2789","2789","2789","8","8","8"
"25","2901","2901","2901","10","10","10"
"26","3013","3013","3013","10","10","10"
"27","3125","3125","3125","9","9","9"
"28","3237","3237","3237","10","10","10"
"29","3349","3349","3349","9","9","9"
"30","3461","3461","3461","9","9","9"
"31","3573","3573","3573","8","8","8"
"32","3685","3685","3685","9","9","9"
"33","3797","3797","3797","6","6","6"
"34","3909","3909","3909","8","8","8"
"35","4021","4021","4021","7","7","7"
"36","4133","4133","4133","10","10","10"
"37","4245","4245","4245","8","8","8"
"38","4357","4357","4357","8","8","8"
"39","4469","4469","4469","9","9","9"
"40","4581","4581","4581","8","8","8"
"41","4693","4693","4693","9","9","9"
"42","4805","4805","4805","10","10","10"
"43","4917","4917","4917","10","10","10"
"44","5029","5029","5029","10","10","10"
"45","5141","5141","5141","9","9","9"
"46","5253","5253","5253","9","9","9"
"47","5365","5365","5365","9","9","9"
"48","5477","5477","5477","10","10","10"
"49","5589","5589","5589","9","9","9"
"50","5701","5701","5701","9","9","9"
"51","5813","5813","5813","7","7","7"
"52","5925","5925","5925","10","10","10"
"53","6037","6037","6037","9","9","9"
"54","6149","6149","6149","10","10","10"
"55","6261","6261","6261","9","9","9"
"56","6373","6373","6373","8","8","8"
"57","6485","6485","6485","9","9","9"
"58","6597","6597","6597","10","10","10"
"59","6709","6709","6709","9","9","9"
"60","6821","6821","6821","9","9","9"
"61","6933","6933","6933","10","10","10"
"62","7045","7045","7045","9","9","9"
"63","7157","7157","7157","9","9","9"
"64","7269","7269","7269","10","10","10"
"65","7381","7381","7381","10","10","10"
"66","7493","7493","7493","8","8","8"
"67","7605","7605","7605","9","9","9"
"68","7717","7717","7717","8","8","8"
"69","7829","7829","7829","8","8","8"
"70","7941","7941","7941","10","10","10"
"71","8053","8053","8053","10","10","10"
"72","8165","8165","8165","9","9","9"
"73","8277","8277","8277","9","9","9"
"74","8389","8389","8389","10","10","10"
"75","8501","8501","8501","10","10","10"
"76","8613","8613","8613","9","9","9"
"77","8725","8725","8725","10","10","10"
"78","8837","8837","8837","10","10","10"
"79","8949","8949","8949","8","8","8"
"80","9061","9061","9061","9","9","9"
"81","9173","9173","9173","8","8","8"
"82","9285","9285","9285","10","10","10"
"83","9397","9397","9397","8","8","8"
"84","9509","9509","9509","10","10","10"
"85","9621","9621","9621","10","10","10"
"86","9733","9733","9733","10","10","10"
"87","9845","9845","9845","9","9","9"
"88","9957","9957","9957","10","10","10"
"89","10069","10069","10069","10","10","10"
"90","10181","10181","10181","9","9","9"
"91","10293","10293","10293","10","10","10"
"92","10405","10405","10405","9","9","9"
"93","10517","10517","10517","7","7","7"
"94","10629","10629","10629","8","8","8"
"95","10741","10741","10741","9","9","9"
"96","10853","10853","10853","10","10","10"
"97","10965","10965","10965","8","8","8"
"98","11077","11077","11077","10","10","10"
"99","11189","11189","11189","8","8","8"
